=== INDICATOR VERIFICATION REPORT ===

Total files processed: 319

=== PROCESSED PAIRS ===
             symbol  rows  indicators                                  date_range
0          FLOWUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
1       1000CATUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
2           RVNUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
3         ALICEUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
4           APTUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
5           ONEUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
6    ETHUSDT_250328   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
7           BALUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
8         TURBOUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
9           SXPUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
10          RSRUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
11          SUNUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
12        DODOXUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
13        STEEMUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
14         COMPUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
15         TNSRUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
16         VIDTUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
17          REZUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
18       PEOPLEUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
19          BNBUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
20          JOEUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
21          SCRUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
22         DASHUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
23          FTMUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
24          ATAUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
25       BADGERUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
26          ACTUSDT   325          39  2024-11-11 10:00:00 to 2024-11-24 22:00:00
27         ARKMUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
28          DOTUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
29         QTUMUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
30         REEFUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
31          ENJUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
32          HOTUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
33          FXSUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
34       BTCDOMUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
35          MKRUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
36         NEARUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
37          RENUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
38         HIFIUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
39         NULSUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
40          APEUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
41       SANTOSUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
